id,category,subcategory,transliteration,translation,arabic,reference
463,Daily Routine,Supplications for when you wake up,"Laa 'illaha 'illallahu wahdahu la shareeka lahu, lahul-mulku wa lahul-hamdu, wa Huwa 'alaa kulli shay'in Qadeer Subhaanallahi, walhamdu lillaahi, wa laa 'ilaha 'illallahu, wallaahu 'akbar, wa laa hawla wa laa Quwwata 'illaa billaahil-'Aliyyil-'Adheem, Rabbighfir lee.","There is none worth of worship but Allah alone, Who has no partner, His is the dominion and to Him belongs all praise, and He is able to do all things. Glory is to Allah. Praise is to Allah. There is none worth of worship but Allah. Allah is the Most Great. There is no might and no power except by Allah's leave, the Exalted, the Mighty. My Lord, forgive me.",لَا إِلَهَ إِلَّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدَ، وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ. سُبْحَانَ اللهِ، وَالْحَمْدُ للهِ، ولَا إِلَهَ إِلَّا اللهُ، وَاللهُ أَكْبَرُ، وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللهِ العَلِيِّ الْعَظيِمِ، ربِّ اغْفِرلِي,"Reference: Whoever says this will be forgiven, and if he supplicates Allah, his prayer will be answered; if he performs ablution and prays, his prayer will be accepted. Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/39, among others. The wording here is from Ibn Majah 2/335."
464,Daily Routine,Supplications for when you wake up,"Alhamdu lillaahil-lathee 'aafaanee fee jasadee, wa radda 'alayya roohee, wa 'athina lee bithikrihi.",Praise is to Allah Who gave strength to my body and returned my soul to me and permitted me to remember Him,الْحَمْدُ للهِ الَّذِي عَافَانِي فِي جَسَدِي، وَرَدَّ عَلَيَّ رُوحِي، وَأَذِنَ لِي بِذِكْرِهِ,Reference: At-Tirmithi 5/473. See Al-Albani's Sahih Tirmiihi 3/144.
465,Daily Routine,Supplications for when you wake up,"Inna fee khalqis-samaawaati wal'ardhi wakhtilaafil-layli wannahaari la'aayaatil-li 'oolil-'albaab. Allatheena yathkuroon-allaaha qiyaaman wa qu'oodan vua 'alaa junoobihim wa yatafakkaroona fee khalqis-samaawaati wal'ardhi Rabbanaa maa khalaqta haathaa baatilan subhaanaka faqinaa 'athaaban-naar. Rabbanaa 'innaka man tudkhilin-naara faqad 'akhzaytahu wa maa lidhdhalimeena rain 'ansaar. Rabbanaa 'innanaa sami'naa munaadiyan yunaadee lil'eemaani 'an 'aaminoo birabbikum fa'aamannaa, Rabbanaa faghfir lanaa thunoobanaa wa kaffir 'annaa sayyi'aatinaa wa tawaffanaa ma'al-'abraar. Rabbanaa wa 'aatinaa maa wa'adtanaa 'alaa rusulika wa laa tukhzinaa yawmal-qiyaamati, 'innaka laa tukhliful-mee'aad. Fastajaaba lahum Rabbuhum'annee laa 'udhee'u 'amala 'aanulim-minkum min thakarin 'aw 'unthaa, ba'dhukum mim ba'dh, fallatheena haajaroo wa 'ukhrijoo min diyaarihim wa 'oothoo fee sabeelee wa qaataloo wa qutiloo la'ukaffiranna 'anhum sayyi'aatihim wa la'udkhilannahum jannaatin tajree min tahtihal-'anhaaru thawaaban min 'indillaah, wallaahu 'indahu husnuth-thawaab. Laa yaghur-rannaka taqallubul-latheena kafaroo fil-bilaad. Mataa'un qaleelun thumma ma'waahum jahannam, wa bi'sal-mihaad. Laakinil-latheenat-taqaw Rabbahum lahumjannaatun tajree min tahtihal-'anhaaru khaalideena feehaa nuzulam-min 'indillaah, wa maa 'indallaahi khayrul-lil'abraar. Wa 'inna min 'ahlil-kitaabi laman yu'minu billaahi wa maa 'unzila 'ilaykum wa maa 'unzila 'ilayhim khaashi'eena lillaahi laa yashtaroona bi'aayaatillaahi thamanan qaleela, 'oolaa'ika lahum 'ajruhum 'inda Rabbihim, 'innallaaha saree'ul-hisaab. Yaa'ayyuhal-latheena 'aamanus-biroo wa saabiroo wa raabitoo wattaqul-laaha la'allakum tuflihoon.","Verily! In the creation of the heavens and the earth, and in the alternation of night and day, there are indeed Signs for men of understanding. Those who remember Allah standing, sitting and lying down on their sides, and think deeply about the creation of the heavens and the earth, (saying:) ""Our LordA You. have not created this without purpose, glory is to You! Give us salvation from the torment of the Fire. Our Lord! Verily, whom You admit to the Fire, indeed, You have disgraced him, and never will the oppressors find any helpers. Our Lord! Verily, we have heard the call of one calling to Faith (saying:) 'Believe in your Lord,' and we have believed. Our Lord! Forgive us our sins and expiate from us our evil deeds, and make us die in the state of righteousness together with the pious and righteous slaves. Our Lord! Grant us what You promised us through Your Messengers, and disgrace us not on the Day of Resurrection, for You never break (Your) promise."" So, their Lord answered them (saying): ""Never will I allow to be lost the work of any of you, be he male or female. You issue forth one from another, so those who emigrated and were driven out from their homes, and suffered harm in My Cause and who fought, and were killed in My Cause, verily, I will expiate from them their evil deeds and admit them into Gardens under which rivers flow ; a reward from Allah , and with Allah is the best of rewards ."" Let not the free disposal of the disbelievers through out the land deceive you . A brief enjoyment ; then , their ultimate abode is Hell ; and worst indeed is that place for rest . But , for those who fear their Lord, are Gardens under which rivers flow ; therein are they to dwell forever , and entertainment from Allah ; and that which is with Allah is the best for the pious and righteous slaves . And there are , certainly , among the people of the Scripture , those who believe in Allah and in that which has been revealed to you , and in that which has been revealed to them , hum bling themselves before Allah . They do not sell the Verses of Allah for a little price, for them is a reward with their Lord . Surely , Allah is Swift in account . O you who believe! Have patience and contend in patience, be vigilant and informed, and fear Allah , so that you may be successful.",إِنَّ فِي خَلْقِ السَّمَاوَاتِ وَالْأَرْضِ وَاخْتِلَافِ اللَّيْلِ وَالنَّهَارِ لَآيَاتٍ لِأُولِي الْأَلْبَابِ ۞ الَّذِينَ يَذْكُرُونَ اللهَ قِيَامًا وَقُعُودًا وَعَلَى جُنُوبِهِمْ وَيَتَفَكَّرُونَ فِي خَلْقِ السَّمَاوَاتِ وَالْأَرْضِ رَبَّنَا مَا خَلَقْتَ هَذَا بَاطِلًا سُبْحَانَكَ فَقِنَا عَذَابَ النَّارِ ۞ رَبَّنَا إِنَّكَ مَنْ تُدْخِلِ النَّارَ فَقَدْ أَخْزَيْتَهُ وَمَا لِلظَّالِمِينَ مِنْ أَنْصَارٍ ۞ رَبَّنَا إِنَّنَا سَمِعْنَا مُنَادِيًا يُنَادِي لِلْإِيمَانِ أَنْ آمِنُوا بِرَبِّكُمْ فَآمَنَّا رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا وَكَفِّرْ عَنَّا سَيِّئَاتِنَا وَتَوَفَّنَا مَعَ الْأَبْرَارِ ۞ رَبَّنَا وَآتِنَا مَا وَعَدْتَنَا عَلَى رُسُلِكَ وَلَا تُخْزِنَا يَوْمَ الْقِيَامَةِ إِنَّكَ لَا تُخْلِفُ الْمِيعَادَ ۞ فَاسْتَجَابَ لَهُمْ رَبُّهُمْ أَنِّي لَا أُضِيعُ عَمَلَ عَامِلٍ مِنْكُمْ مِنْ ذَكَرٍ أَوْ أُنْثَى بَعْضُكُمْ مِنْ بَعْضٍ فَالَّذِينَ هَاجَرُوا وَأُخْرِجُوا مِنْ دِيَارِهِمْ وَأُوذُوا فِي سَبِيلِي وَقَاتَلُوا وَقُتِلُوا لَأُكَفِّرَنَّ عَنْهُمْ سَيِّئَاتِهِمْ وَلَأُدْخِلَنَّهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ ثَوَابًا مِنْ عِنْدِ اللهِ وَاللهُ عِنْدَهُ حُسْنُ الثَّوَابِ ۞ لَا يَغُرَّنَّكَ تَقَلُّبُ الَّذِينَ كَفَرُوا فِي الْبِلَادِ ۞ مَتَاعٌ قَلِيلٌ ثُمَّ مَأْوَاهُمْ جَهَنَّمُ وَبِئْسَ الْمِهَادُ ۞ لَكِنِ الَّذِينَ اتَّقَوْا رَبَّهُمْ لَهُمْ جَنَّاتٌ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا نُزُلًا مِنْ عِنْدِ اللهِ وَمَا عِنْدَ اللهِ خَيْرٌ لِلْأَبْرَارِ ۞ وَإِنَّ مِنْ أَهْلِ الْكِتَابِ لَمَنْ يُؤْمِنُ بِاللهِ وَمَا أُنْزِلَ إِلَيْكُمْ وَمَا أُنْزِلَ إِلَيْهِمْ خَاشِعِينَ للهِ لَا يَشْتَرُونَ بِآيَاتِ اللهِ ثَمَنًا قَلِيلًا أُولَئِكَ لَهُمْ أَجْرُهُمْ عِنْدَ رَبِّهِمْ إِنَّ اللهَ سَرِيعُ الْحِسَابِ ۞ يَا أَيُّهَا الَّذِينَ آمَنُوا اصْبِرُوا وَصَابِرُوا وَرَابِطُوا وَاتَّقُوا اللهَ لَعَلَّكُمْ تُفْلِحُونَ,"Reference: Qur'an Aal-'Imran 3: 190-200; Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 8/237; Muslim 1/530."
474,Daily Routine,What to say before performing ablution,Bismillaahi,In the Name of Allah.,بِسْمِ اللهِ,"Reference: Abu Dawud, Ibn Majah, and Ahmad. See also Al-Albani, 'Irwa'ul-Ghain 1/122."
475,Daily Routine,What to say upon completing ablution, 'Ash-hadu 'an laa 'ilaaha 'illallaahu wahdahu laa shareeka lahu wa 'ash-hadu 'anna Muhammadan 'abduhu wa Rasooluhu.,"I bear witness that none has the right to be worshipped but Allah alone, Who has no partner; and I bear witness that Muhammad is His slave and His Messenger.",أَشْهَدُ أَنْ لَا إِلَهَ إلَّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ، وَأَشْهَدُ أَنَّ مُحَمَّداً عَبْدُهُ وَرَسُولُهُ,Reference: Muslim 1/209.
476,Daily Routine,What to say upon completing ablution,Allaahummaj'alnee minat-tawwaabeena waj'alnee minal-mutatahhireen.,"O Allah, make me among those who turn to You in repentance, and make me among those who are purified.",اللَّهُمَّ اجْعَلْنِي مِنَ التَّوَّابِينَ وَاجْعَلْنِي مِنَ الْمُتَطَهِّرِينَ,"Reference: At-Tirmithi 1/78. See also Al-Albani, Sahih At- Tirmithi 1/18"
477,Daily Routine,What to say upon completing ablution,"Subhaanaka Allaahumma wa bihamdika, 'ash-hadu 'an laa 'ilaaha 'illaa 'Anta, 'astaghfiruka wa 'atoobu 'ilayk","Glory is to You, O Allah, and praise; I bear witness that there is none worthy of worship but You. I seek Your forgiveness and turn to You in repentance.",سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ، أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا أَنْتَ، أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ,"Reference: An-Nasa'i, 'Amalul-Yawm wal-Laylah, p. 173. See also Al-Albani, 'Irwa'ul-Ghalil 1/135 and 2/94."
480,Daily Routine,What to say when entering the home,"Bismillaahi walajnaa, wa bismillaahi kharajnaa, wa 'alaaRabblnaa tawakkalnaa.","In the Name of Allah we enter , in the Name of Allah we leave , and upon our Lord we depend [then say As-Salaamu 'Alaykum to those present].",بِسْمِ اللهِ وَلَجْنَا، وَ بِسْمِ اللهِ خَرَجْنَا، وَعَلَى رَبِّنَا تَوَكَّلْنَا,"Reference: Abu Dawud 4/325. Muslim {Hadith no. 2018) says that one should mention the Name of Allah when entering the home and when beginning to eat; and that the devil, hearing this, says: ""There is no shelter for us here tonight and no food."""
478,Daily Routine,What to say when leaving the home,"Bismillaahi, tawakkaltu 'alallaahi, wa laa hawla wa laa quwwata ‘ illaa billaah.","In the Name of Allah, I have placed my trust in Allah, there is no might and no power except by Allah.",بِسْمِ اللهِ، تَوَكَّلْتُ عَلَى اللهِ، وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللهِ,"Reference: Abu Dawud 4/325, At-Tirmithi 5/490. See also Al-Albani, Sahih At-Tirmithi 3/151"
479,Daily Routine,What to say when leaving the home,"Allaahumma 'innee 'a'oothu bika 'an 'adhilla, 'aw 'udhalla, 'aw 'azilla, 'aw 'uzalla, 'aw 'adhlima, 'aw 'udhlama, 'aw 'ajhala 'aw yujhala 'alayya.","O Allah, I seek refuge in You lest I misguide others , or I am misguided by others , lest I cause others to err or I am caused to err , lest I abuse others or be abused, and lest I behave foolishly or meet with the foolishness of others.",الَّهُمَّ إِنِّي أَعُوذُ بِكَ أَنْ أَضِلَّ، أّوْ أُضَلَّ، أَوْ أَزِلَّ، أَوْ أُزَلَّ، أَوْ أَظْلِمَ، أَوْ أُظْلَمَ، أَوْ أَجْهَلَ، أَوْ يُجْهَلَ عَلَيَّ,"Reference: Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmithi. See also Al-Albani, Sahih At-Tirmithi 3/152 and Sahih Ibn Majah 2/336"
471,Daily Routine,What to say when undressing,Bismillaahi,In the Name of Allah.,بِسْمِ اللهِ,"Reference: At-Tirmithi 2/505, among others. See 'Irwa'ul Ghalil no. 49 and Sahihul-Jami' 3/203"
572,Eating & Drinking,A dinner guest's invocation for his host,"Allaahumma baarik lahum feemaa razaqtahum, waghfir lahum warhamhum.","O Allah , bless them in what You have provided for them , and forgive them and have mercy on them.",اَللّٰهُـمَّ بَارِكْ لَهُمْ فِيْمَا رَزَقْـتَهُمْ، وَاغْفِـرْ لَهُـمْ وَارْحَمْهُمْ,Reference: Muslim 3/1615.
573,Eating & Drinking,Invocation for someone who gives you drink or offers it,Allaahumma 'at'im man 'at'amanee wasqi man saqaanee.,"O Allah , feed the one who has fed me and drink to the one who has given me drink.",اللَّهُمَّ أَطْعِمْ مَنْ أَطْعَمَنِي ، وَاسْقِ مَنْ سَقَانِي,Reference: Muslim 3/126.
574,Eating & Drinking,Invocation for someone who offers you food when you are fasting,"Aftara 'indakumus-saa'imoona, wa 'akala ta'aamakumul-'abraaru , wa sallat 'alaykumul-malaa'ikatu .","With you , those who are fasting have broken their fast, you have fed those who are righteous , and the angels recite their prayers upon you.",أَفْطَـرَ عِنْدَكُمُ الصَّاۗئِمُوْنَ وَأَكَلَ طَعَامَـكُمُ الْأَبْـرَارُ، وَصَلَّـتْ عَلَـيْكُمُ الْمَلَاۗئِكَـةُ,"Reference: Abu Dawud 3/367, Ibn Majah 1/556, An-Nasa'i, 'Amalul-Yawm wal-Laylah 296-8. Al-Albani graded it authentic in Sahih Abu Dawud 2/730."
576,Eating & Drinking,Invocation for when you see the first dates of the season," Allahumma baarik lanaa fee thamarinaa , wa baarik lanaa fee madeenatinaa wa baarik lanaa fee saa'inaa, wa baarik lanaa fee muddinaa.","O Allah , bless us in our dates and bless us in our town, bless us in our Sa' and in our Mudd",اللهُمَّ بَارِكْ لَنَا فِي ثَمَرِنَا، وَبَارِكْ لَنَا فِي مَدِينَتِنَا وَبَارِكْ لَنَا فِي صَاعِنَا، وَبَارِكْ لَنَا فِي مُدِّنَا,"Reference: Muslim 2/1000 (Sa' and Mudd are both dry measures used for agricultural produce by the Arabs in the Prophet's time. Of the two, the So.' was the larger measure.) (Translator)"
571,Eating & Drinking,Invocations after eating,"Alhamdulillahil-ladhi at’amana wa saqana, wa ja’alana minal muslimin",Praise be to Allah who has provided us with food and drink and made us among those who submit to Him.,الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنَا وَسَقَانَا وَجَعَلَنَا مِنَ الْمُسْلِمِينَ,"Reference: At-Tirmithi, Abu Dawud, and Ibn Majah. See also Al-Albani, Sahih At-Tirmithi 3/159."
569,Eating & Drinking,Invocations before eating,Bismillah.,In the name of Allah., بِسْمِ اللَّهِ ,"Reference: Abu Dawud 3/347, At-Tirmithi 4/288. See Al- Albani's Sahih At-Tirmithi 2/167."
570,Eating & Drinking,Invocations before eating,Bismillah fi awwalihi wa akhirihi.,In the Name of Allah at the beginning and at the end.,بِسْمِ اللَّهِ فِي أَوَّلِهِ وَآخِرِه,"Reference: Abu Dawud 3/347, At-Tirmithi 4/288. See Al- Albani's Sahih At-Tirmithi 2/167."
575,Eating & Drinking,What to say when you are fasting and someone is rude to you,"Inneesaa'imun, 'innee saa'imun.",I am fasting . I am fasting.,إِنِّي صَائِمٌ، إِنِّي صَائِمٌ,"Reference: Al-Bukhari, cf. Al-Asqalani, Fathul-BAri 4/103, Muslim 2/806."
622,Family & Social,Congratulations for new parents and how they should respond,"Baarakallaahu laka fil-mawhoobi laka, wa shakartal-waahiba, wa balagha 'ashuddahu, wa ruziqta birrahu. [The reply of the person being congratulated is to say :] Baarakallahu laka wa baaraka 'alayka, wa jazaakallaahu khayran, wa razaqakallaahu mithlahu, wa 'ajzala thawaabaka.","May Allah bless you with His gift to you, and may you (the new parent) give thanks, may the child reach the maturity of years, and may you be granted its righteousness. The reply of the person being congratulated is to say : [ May Allah bless you, and shower His blessings upon you, and may Allah reward you well and bestow upon you its like and reward you abundantly. ]","بَارَكَ اللهُ لَكَ فِي الْمَوْهُوبِ لَكَ، وَشَكَرْتَ الْوَاهِبَ، وَبَلَغَ أَشُدَّهُ، وَرُزِقْتَ بِرَّهُ

The reply of the person being congratulated is to say

بَارَكَ اللهُ لَكَ وَبَارَكَ عَلَيْكَ، وَجَزَاكَ اللهُ خَيْرًا، وَرَزَقَكَ اللهُ مِثْلَهُ، وَأَجْزَلَ ثَوَابَكَ","Reference: An-Nawawi, Kitdbul-'Athkarp. 349, and Sahihul-'Athkar2/7l3 by Saleem Al-Hilali."
623,Family & Social,How to seek Allah's protection for children,"'U'eethukumaa bikalimaatil-laahit-taammati min kulli shaytaanin wa haammatin, wa min kulli 'aynin laammatin.","I seek protection for you in the Perfect Words of Allah from every devil and every beast, and from every envious blameworthy eye.",أُعِيذُكُمَا بِكَلِمَاتِ اللهِ التَّا مَّةِ مِنْ كُلِّ شَيْطَانٍ وَهَامَّةٍ وَمِنْ كُلِّ عَيْنٍ لَامَّةٍ,"Reference:  Al-Bukhari4/119, The Prophet (peace and blessing be upon him) used to seek Allah's protection for Al-Hasan and Al-Husain by saying"
630,Family & Social,Invocation for fear of Shirk,"Allaahumma 'innee 'a'oothu bika 'an 'ushrika bika wa 'anaa 'a'lamu, wa 'astaghfiruka limaa laa 'a'lamu.","O Allah, I seek refuge in You lest I associate anything with You knowingly, and I seek Your forgiveness for what I know not.",اللهُمَّ إِنِي أَعُوذُ بِكَ أَنْ أُشْرِكَ بِكَ وَأَنَا أَعْلَمُ، وَأَسْتَغْفِرُكَ لِمَا لَا أَعْلَمُ,"Reference: Ahmad 4/403. See also Al-Albani, Sahihul-Jami' As-Saghir 3/233 and Sahihut-Targhib wat- Tarhib 1/19."
625,Family & Social,Invocation for someone who does good to you,Jazaakallaahu khayran.,May Allah reward you with good.,جَزَاكَ اللهُ خَيْرًا,"Reference: At-Tirmithi (no. 2035). See also Al-Albani, Sahih At-Tirmithi 2/200 and Sahihul-Jami' (no. 6244)."
627,Family & Social,Invocation for someone who offers you a share of his wealth,Baarakallaahu laka fee 'ahlika wa maalika.,May Allah bless you in your family and your property.,بَارَكَ اللهُ لَكَ فِي أَهْلِكَ وَمَالِكَ,"Reference: Al-Bukhari, cf. Al-Asqalani, Fathul-BAri 4/88."
624,Family & Social,"Invocation for someone who says: ""May Allah forgive you""",Wa laka.,And you.,وَلَكَ,"Reference: Ahmad 5/82, and An-Nasa'i in 'Amalul-Yawm wal-Laylah p. 218, with checking by Dr. Farooq Hamadah."
626,Family & Social,"Invocation for someone who tells you: ""I love you for the sake of Allah""",'Ahabbakal-lathee 'ahbabtanee lahu.,"May He for Whose sake you love me, love you.",أَحَبَّكَ الَّذِي أَحْبَبْتَنِي لَهُ,Reference: Abu Dawud 4/333. Al-Albani graded it good in Sahih Abu Dawud 3/965.
